JiajunNo,Aliquot_Vial_Barcode,Bottle_ID,CASRN,Preferred_Name,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,MS_READY_SMILES,MS_File,M-H,M+H,RT,PeakArea,Neg/Pos
1,1502649,B02463081,58244-27-2,tris(Trifluoroethoxy)methane,C7H7F9O3,310.116,310.0251,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,PFAS_1.raw,309.1082,311.1238,NA,NA,NA
2,1502650,EV0003107,2144-53-8,6:2 Fluorotelomer methacrylate,C12H9F13O2,432.181,432.0395,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_2.raw,431.1732,433.1888,NA,NA,NA
3,1502651,B02462781,28523-86-6,Sevoflurane,C4H3F7O,200.056,200.0072,FCOC(C(F)(F)F)C(F)(F)F,PFAS_3.raw,199.0482,201.0638,NA,NA,NA
4,1502652,B02479826,679-12-9,4H-Perfluorobutanoic acid,C4H2F6O2,196.048,195.9959,OC(=O)C(F)(F)C(F)(F)C(F)F,PFAS_4.raw,195.0402,197.0558,1.35,466000000,neg
5,1502659,B02466445,1652-63-7,Perfluorooctanesulfonamido ammonium iodide,C14H16F17IN2O2S,726.23,725.9706,C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_5.raw,725.2222,727.2378,NA,NA,NA
6,1502660,B02466457,2795-39-3,Potassium perfluorooctanesulfonate,C8F17KO3S,538.22,537.8934,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_6.raw,537.2122,539.2278,NA,NA,NA
7,1502661,B02463065,55621-21-1,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",C6H2F8O6,322.063,321.9724,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(O)=O,PFAS_7.raw,321.0552,323.0708,NA,NA,NA
8,1502662,B02462765,375-72-4,Perfluorobutanesulfonyl fluoride,C4F10O2S,302.09,301.9459,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(=O)=O,PFAS_8.raw,301.0822,303.0978,3.41,214000,neg
9,1502663,B02466735,1691-99-2,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,C12H10F17NO3S,571.25,571.011,CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_9.raw,570.2422,572.2578,NA,NA,NA
10,1502664,B02479822,329710-76-1,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,C4H4F6O4S,262.12,261.9734,FC(F)(F)OCCOS(=O)(=O)C(F)(F)F,PFAS_10.raw,261.1122,263.1278,NA,NA,NA
11,1502665,B02462777,375-01-9,Heptafluorobutanol,C4H3F7O,200.056,200.0072,OCC(F)(F)C(F)(F)C(F)(F)F,PFAS_11.raw,199.0482,201.0638,NA,NA,NA
12,1502666,194733407,375-22-4,Perfluorobutanoic acid,C4HF7O2,214.039,213.9865,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PFAS_12.raw,213.0312,215.0468,1.79,135000000,neg
13,1502667,B02479829,74427-22-8,"2,2-Difluoroethyl triflate",C3H3F5O3S,214.11,213.9723,FC(F)COS(=O)(=O)C(F)(F)F,PFAS_13.raw,213.1022,215.1178,NA,NA,NA
14,1502668,B02466443,914637-49-3,"2H,2H,3H,3H-Perfluorooctanoic acid",C8H5F11O2,342.108,342.0114,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_14.raw,341.1002,343.1158,4.31,99800000,neg
15,1502669,B02466740,757124-72-4,4:2 Fluorotelomer sulfonic acid,C6H5F9O3S,328.15,327.9816,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_15.raw,327.1422,329.1578,3.13,1210000000,neg
16,1502670,B02466450,31506-32-8,N-Methylperfluorooctanesulfonamide,C9H4F17NO2S,513.17,512.9691,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_16.raw,512.1622,514.1778,5.35,3840000000,neg
17,1502671,TX003819,375-95-1,Perfluorononanoic acid,C9HF17O2,464.078,463.9705,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_17.raw,463.0702,465.0858,4.28,2480000000,neg
18,1502672,B02463715,15242-17-8,Allyl perfluoroisopropyl ether,C6H5F7O,226.094,226.0229,FC(F)(F)C(F)(OCC=C)C(F)(F)F,PFAS_18.raw,225.0862,227.1018,NA,NA,NA
19,1502673,B02463035,13485-61-5,Nonafluoropentanamide,C5H2F9NO,263.063,262.9993,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_19.raw,262.0552,264.0708,3.72,650000,neg
20,1502674,TX004422,307-24-4,Perfluorohexanoic acid,C6HF11O2,314.054,313.9801,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_20.raw,313.0462,315.0618,3.31,820000000,neg
21,1502675,TX009949,3825-26-1,Ammonium perfluorooctanoate,C8H4F15NO2,431.101,431.0003,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_21.raw,430.0932,432.1088,NA,NA,NA
22,1502676,B02479747,355-95-3,1-Propenylperfluoropropane,C6H5F7,210.095,210.0279,CC=CC(F)(F)C(F)(F)C(F)(F)F,PFAS_22.raw,209.0872,211.1028,NA,NA,NA
23,1502677,B02479777,1763-28-6,"3,3-Bis(trifluoromethyl)-2-propenoic acid",C5H2F6O2,208.059,207.9959,OC(=O)C=C(C(F)(F)F)C(F)(F)F,PFAS_23.raw,207.0512,209.0668,2.5,303000000,neg
24,1502678,B02466328,4151-50-2,N-Ethylperfluorooctanesulfonamide,C10H6F17NO2S,527.2,526.9848,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_24.raw,526.1922,528.2078,5.58,1070000000,neg
25,1502679,B02479754,239795-57-4,2-Vinylperfluorobutane,C6H3F9,246.076,246.0091,C=CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,PFAS_25.raw,245.0682,247.0838,NA,NA,NA
26,1502680,TX004595,3871-99-6,Potassium perfluorohexanesulfonate,C6F13KO3S,438.2,437.8998,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_26.raw,437.1922,439.2078,NA,NA,NA
27,1502681,B02463305,333-36-8,Flurothyl,C4H4F6O,182.065,182.0166,FC(F)(F)COCC(F)(F)F,PFAS_27.raw,181.0572,183.0728,NA,NA,NA
28,1502682,B02470782,863090-89-5,Perfluoro(4-methoxybutanoic) acid,C5HF9O3,280.046,279.9782,OC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,PFAS_28.raw,279.0382,281.0538,3.07,466000000,neg
29,1502683,B02463005,406-58-6,"1,1,1,3,3-Pentafluorobutane",C4H5F5,148.076,148.0311,CC(F)(F)CC(F)(F)F,PFAS_29.raw,147.0682,149.0838,NA,NA,NA
30,1502684,B02463041,125070-38-4,"3-(Perfluoro-2-butyl)propane-1,2-diol",C7H7F9O2,294.117,294.0302,C(C(CO)O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,PFAS_30.raw,293.1092,295.1248,NA,NA,NA
31,1502685,B02463031,662-50-0,Heptafluorobutyramide,C4H2F7NO,213.055,213.0025,NC(=O)C(F)(F)C(F)(F)C(F)(F)F,PFAS_31.raw,212.0472,214.0628,3.25,412000,neg
32,1502686,B02480220,129301-42-4,"1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol",C6H6F8O4,294.097,294.0138,OCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)CO,PFAS_32.raw,293.0892,295.1048,3.48,184000000,neg
33,1502687,B02479811,31253-34-6,2-Aminohexafluoropropan-2-ol,C3H3F6NO,183.053,183.0119,NC(O)(C(F)(F)F)C(F)(F)F,PFAS_33.raw,182.0452,184.0608,NA,NA,NA
34,1502688,B02466430,330562-41-9,"Perfluoro-3,6,9-trioxatridecanoic acid",C10HF19O5,562.083,561.9521,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_34.raw,561.0752,563.0908,5.11,184000000,neg
35,1502689,B02462767,376-90-9,Hexafluoroamylene glycol,C5H6F6O2,212.091,212.0272,OCC(F)(F)C(F)(F)C(F)(F)CO,PFAS_35.raw,211.0832,213.0988,NA,NA,NA
36,1502690,B02463067,424-18-0,Methyl perfluorohexanoate,C7H3F11O2,328.081,327.9957,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_36.raw,327.0732,329.0888,NA,NA,NA
37,1502691,B02466442,13252-13-6,Perfluoro-2-methyl-3-oxahexanoic acid,C6HF11O3,330.053,329.975,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,PFAS_37.raw,329.0452,331.0608,NA,NA,NA
38,1502692,B02480140,355-81-7,Perfluoropentanamide,C5H3F8NO,245.072,245.0087,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,PFAS_38.raw,244.0642,246.0798,3.35,106000000,neg
39,1502693,B02463075,132424-36-3,"Methyl 2H,2H,3H,3H-perfluoroheptanoate",C8H7F9O2,306.128,306.0302,COC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_39.raw,305.1202,307.1358,NA,NA,NA
40,1502694,B02463727,3792-02-07,4:4 Fluorotelomer alcohol,C8H9F9O,292.145,292.051,OCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_40.raw,291.1372,293.1528,NA,NA,NA
41,1502695,B02470751,2043-47-2,4:2 Fluorotelomer alcohol,C6H5F9O,264.091,264.0197,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_41.raw,263.0832,265.0988,NA,NA,NA
42,1502696,B02462793,375-02-0,Perfluorobutyraldehyde,C4HF7O,198.04,197.9916,FC(F)(F)C(F)(F)C(F)(F)C=O,PFAS_42.raw,197.0322,199.0478,NA,NA,NA
43,1502697,B02462779,356-42-3,Pentafluoropropanoic anhydride,C6F10O3,310.047,309.9688,FC(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)F,PFAS_43.raw,309.0392,311.0548,NA,NA,NA
44,1502698,B02463735,163702-08-7,Perfluoroisobutyl methyl ether,C5H3F9O,250.064,250.004,COC(C(C(F)(F)F)(C(F)(F)F)F)(F)F,PFAS_44.raw,249.0562,251.0718,NA,NA,NA
45,1502699,B02463723,883498-76-8,"Bis(1H,1H-perfluoropropyl)amine",C6H5F10N,281.097,281.0262,FC(F)(F)C(F)(F)CNCC(F)(F)C(F)(F)F,PFAS_45.raw,280.0892,282.1048,NA,NA,NA
46,1502700,TX013686,1763-23-1,Perfluorooctanesulfonic acid,C8HF17O3S,500.13,499.9375,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_46.raw,499.1222,501.1378,4.81,2630000000,neg
47,1502701,B02462783,356-24-1,Methyl heptafluorobutyrate,C5H3F7O2,228.066,228.0021,COC(=O)C(F)(F)C(F)(F)C(F)(F)F,PFAS_47.raw,227.0582,229.0738,NA,NA,NA
48,1502702,B02463003,355-80-6,"1H,1H,5H-Perfluoropentanol",C5H4F8O,232.073,232.0134,OCC(F)(F)C(F)(F)C(F)(F)C(F)F,PFAS_48.raw,231.0652,233.0808,3.66,2480000,neg
49,1502703,B02480222,679-02-7,3-(Perfluoropropyl)propanol,C6H7F7O,228.11,228.0385,OCCCC(F)(F)C(F)(F)C(F)(F)F,PFAS_49.raw,227.1022,229.1178,NA,NA,NA
50,1502704,1141925960,423-65-4,11:1 Fluorotelomer alcohol,C12H3F23O,600.118,599.9817,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_50.raw,599.1102,601.1258,NA,NA,NA
51,1502705,B02464044,813-03-6,5H-Octafluoropentanoyl fluoride,C5HF9O,248.048,247.9884,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)=O,PFAS_51.raw,247.0402,249.0558,NA,NA,NA
52,1502706,B02464054,56860-81-2,"Difluoromethyl 1H,1H-perfluoropropyl",C4H3F7O,200.056,200.0072,FC(F)OCC(F)(F)C(F)(F)F,PFAS_52.raw,199.0482,201.0638,NA,NA,NA
53,1502707,B02463017,1623-05-8,Heptafluoropropyl trifluorovinyl ether,C5F10O,266.038,265.9789,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,PFAS_53.raw,265.0302,267.0458,NA,NA,NA
54,1502708,B02470772,151772-58-6,"Perfluoro-3,6-dioxaheptanoic acid",C5HF9O4,296.045,295.9731,OC(=O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,PFAS_54.raw,295.0372,297.0528,3.28,34400000,neg
55,1502709,B02479815,374-41-4,Methyl perfluoroethyl ketone,C4H3F5O,162.059,162.0104,CC(=O)C(F)(F)C(F)(F)F,PFAS_55.raw,161.0512,163.0668,NA,NA,NA
56,1502710,B02463061,243139-64-2,3-(Perfluoroisopropyl)-2-propenoic acid,C6H3F7O2,240.077,240.0021,OC(=O)C=CC(F)(C(F)(F)F)C(F)(F)F,PFAS_56.raw,239.0692,241.0848,3.83,745000000,neg
57,1502711,TX011012,29420-49-3,Potassium perfluorobutanesulfonate,C4F9KO3S,338.18,337.9061,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_57.raw,337.1722,339.1878,NA,NA,NA
58,1502712,B02463063,355-66-8,Octafluoroadipamide,C6H4F8N2O2,288.097,288.0145,NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(N)=O,PFAS_58.raw,287.0892,289.1048,2.35,254000000,neg
59,1502713,B02462759,19430-93-4,"1H,1H,2H-Perfluoro-1-hexene",C6H3F9,246.076,246.0091,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,PFAS_59.raw,245.0682,247.0838,NA,NA,NA
60,1502714,EV0000799,754-91-6,Perfluorooctanesulfonamide,C8H2F17NO2S,499.14,498.9535,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_60.raw,498.1322,500.1478,4.87,9590000000,neg
61,1502716,B02463007,1694-30-0,3H-Perfluoro-4-hydroxy-3-penten-2-one,C5H2F6O2,208.059,207.9959,FC(F)(F)C(=O)CC(=O)C(F)(F)F,PFAS_61.raw,207.0512,209.0668,3,132000000,neg
62,1502717,B02480215,374-40-3,1-Pentafluoroethylethanol,C4H5F5O,164.075,164.0261,CC(O)C(F)(F)C(F)(F)F,PFAS_62.raw,163.0672,165.0828,NA,NA,NA
63,1502718,B02462999,678-78-4,Perfluoroglutaryl difluoride,C5F8O2,244.04,243.9771,FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)=O,PFAS_63.raw,243.0322,245.0478,NA,NA,NA
64,1502719,TX004627,678-39-7,8:2 Fluorotelomer alcohol,C10H5F17O,464.122,464.0069,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_64.raw,463.1142,465.1298,NA,NA,NA
65,1502720,B02462789,163702-05-4,Ethyl perfluorobutyl ether,C6H5F9O,264.091,264.0197,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_65.raw,263.0832,265.0988,NA,NA,NA
66,1502721,B02462997,77953-71-0,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",C5H5F7O4,262.08,262.0076,OC(O)(C(F)C(O)(O)C(F)(F)F)C(F)(F)F,PFAS_66.raw,261.0722,263.0878,3.03,2020000,neg
67,1502722,B02480213,335-99-9,Dodecafluoroheptanol,C7H4F12O,332.089,332.0071,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,PFAS_67.raw,331.0812,333.0968,NA,NA,NA
68,1502723,B02480230,355-27-1,"1H,1H-Perfluoropentylamine",C5H4F9N,249.08,249.02,NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_68.raw,248.0722,250.0878,2.17,757000,pos
69,1502724,B02463069,1767-94-8,6H-Perfluorohex-1-ene,C6HF11,282.056,281.9903,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)F,PFAS_69.raw,281.0482,283.0638,NA,NA,NA
70,1502725,TX008153,647-42-7,6:2 Fluorotelomer alcohol,C8H5F13O,364.106,364.0133,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_70.raw,363.0982,365.1138,NA,NA,NA
71,1502726,B02479742,1619-92-7,2-Amino-2H-perfluoropropane,C3H3F6N,167.054,167.017,NC(C(F)(F)F)C(F)(F)F,PFAS_71.raw,166.0462,168.0618,NA,NA,NA
72,1502727,B02463039,2648-47-7,5H-Perfluoropentanal,C5H2F8O,230.057,229.9978,FC(F)C(F)(F)C(F)(F)C(F)(F)C=O,PFAS_72.raw,229.0492,231.0648,NA,NA,NA
73,1502728,B02470752,375-73-5,Perfluorobutanesulfonic acid,C4HF9O3S,300.09,299.9503,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_73.raw,299.0822,301.0978,3.39,2420000000,neg
74,1502729,TX013825,335-67-1,Perfluorooctanoic acid,C8HF15O2,414.07,413.9737,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAS_74.raw,413.0622,415.0778,3.91,2490000000,neg
